Date,Open,High,Low,Close,Adj Close,Volume
2020-03-11,640.200012,653.580017,613.000000,634.229980,634.229980,13322500
2020-03-12,580.890015,594.500000,546.250000,560.549988,560.549988,18909100
2020-03-13,595.000000,607.570007,502.000000,546.619995,546.619995,22640300
2020-03-16,469.500000,494.869995,442.170013,445.070007,445.070007,20489500
2020-03-17,440.010010,471.850006,396.000000,430.200012,430.200012,23994600
2020-03-18,389.000000,404.859985,350.510010,361.220001,361.220001,23786200
2020-03-19,374.700012,452.000000,358.459991,427.640015,427.640015,30195500
2020-03-20,438.200012,477.000000,425.790009,427.529999,427.529999,28285500
2020-03-23,433.600006,442.000000,410.500000,434.290009,434.290009,16454500
2020-03-24,477.299988,513.690002,474.000000,505.000000,505.000000,22895200
2020-03-25,545.250000,557.000000,511.109985,539.250000,539.250000,21222700
2020-03-26,547.390015,560.000000,512.250000,528.159973,528.159973,17380700
2020-03-27,505.000000,525.799988,494.029999,514.359985,514.359985,14377400
2020-03-30,510.260010,516.650024,491.230011,502.130005,502.130005,11998100
2020-03-31,501.250000,542.960022,497.000000,524.000000,524.000000,17771500
2020-04-01,504.000000,513.950012,475.100006,481.559998,481.559998,13353200
2020-04-02,481.029999,494.260010,446.399994,454.470001,454.470001,19858400
2020-04-03,509.500000,515.489990,468.390015,480.010010,480.010010,22562100
2020-04-06,511.200012,521.000000,497.959991,516.239990,516.239990,14901800
2020-04-07,545.000000,565.000000,532.340027,545.450012,545.450012,17919800
2020-04-08,554.200012,557.210022,533.330017,548.840027,548.840027,12656000
2020-04-09,562.090027,575.179993,557.109985,573.000000,573.000000,13650000
